year,population
1960,449595489
1961,458626687
1962,467962144
1963,477615992
1964,487607406
1965,497952332
1966,508656247
1967,519722246
1968,531160986
1969,542983934
1970,555199768
1971,567805061
1972,580798773
1973,594192969
1974,608002572
1975,622232355
1976,636883717
1977,651935141
1978,667339022
1979,683032539
1980,698965575
1981,715105168
1982,731443752
1983,747986284
1984,764749394
1985,781736502
1986,798941802
1987,816328792
1988,833833510
1989,851374699
1990,868890700
1991,886348712
1992,903749636
1993,921107534
1994,938452550
1995,955804355
1996,973147577
1997,990460131
1998,1007746556
1999,1025014711
2000,1042261758
2001,1059500888
2002,1076705723
2003,1093786762
2004,1110626108
2005,1127143548
2006,1143289350
2007,1159095250
2008,1174662334
2009,1190138069
2010,1205624648
2011,1221156319
2012,1236686732
2013,1252139596
