year,rate
1970,2.224825931
1971,2.245016602
1972,2.262619356
1973,2.279977934
1974,2.297498198
1975,2.313447186
1976,2.327350695
1977,2.335798896
1978,2.335311566
1979,2.324430408
1980,2.305899237
1981,2.28281279
1982,2.259070346
1983,2.236431746
1984,2.216354971
1985,2.196953918
1986,2.177037477
1987,2.152910062
1988,2.121654895
1989,2.081858188
1990,2.036500458
1991,1.989311271
1992,1.94419174
1993,1.90244166
1994,1.865550803
1995,1.832094718
1996,1.798250031
1997,1.763387111
1998,1.730237054
1999,1.699025919
2000,1.66861544
2001,1.640481778
2002,1.610818628
2003,1.573964596
2004,1.527814847
2005,1.476268117
2006,1.422290365
2007,1.373024152
2008,1.334098708
2009,1.308859379
2010,1.292848795
2011,1.280039961
2012,1.263760083
2013,1.241795171
